adhesivity,particle_size,weight_coefficient,gamma
0.6,0.06,0.0,0.7076059434220324
0.6,0.08,0.0,0.7110685587009383
0.6,0.1,0.0,0.7146162823758372
0.61,0.02,0.0,0.7076948608862009
0.61,0.04,0.0,0.7102953979564427
0.61,0.06,0.0,0.7134872734132832
0.61,0.08,0.0,0.7169381811502665
0.61,0.1,0.0,0.7204450331635174
0.62,0.02,0.0,0.7134456678699083
0.62,0.04,0.0,0.7160544462602368
0.62,0.06,0.0,0.7192522540725216
0.62,0.08,0.0,0.7226901743514839
0.62,0.1,0.0,0.7261556418645861
0.63,0.02,0.0,0.7190850623521315
0.63,0.04,0.0,0.7217014971852892
0.63,0.06,0.0,0.7249040595588271
0.63,0.08,0.0,0.7283279123590022
0.63,0.1,0.0,0.7317519485393505
0.64,0.02,0.0,0.7246159984373358
0.64,0.04,0.0,0.7272394502517864
0.64,0.06,0.0,0.7304456054314551
0.64,0.08,0.0,0.733854491817428
0.64,0.1,0.0,0.7372374940971896
0.65,0.02,0.0,0.7300411522254032
0.65,0.04,0.0,0.7326709156911834
0.65,0.06,0.0,0.7358795007596365
0.65,0.08,0.0,0.7392726799800785
0.65,0.1,0.0,0.7426154610447598
0.66,0.02,0.0,0.7353628873246899
0.66,0.04,0.0,0.7379981809285597
0.66,0.06,0.0,0.7412080136201838
0.66,0.08,0.0,0.7445848766219066
0.66,0.1,0.0,0.7478886284650444
0.67,0.02,0.0,0.740583235514435
0.67,0.04,0.0,0.7432231928816572
0.67,0.06,0.0,0.7464330530981081
0.67,0.08,0.0,0.749793093085127
0.67,0.1,0.0,0.7530593446118482
0.68,0.02,0.0,0.7457038949834777
0.68,0.04,0.0,0.7483475585471483
0.68,0.06,0.0,0.7515561703472672
0.68,0.08,0.0,0.7548989511335827
0.68,0.1,0.0,0.7581295199432917
0.69,0.02,0.0,0.7507262478454381
0.69,0.04,0.0,0.7533725656033597
0.69,0.06,0.0,0.7565785805125133
0.69,0.08,0.0,0.759903703531552
0.69,0.1,0.0,0.7631006426573096
0.7,0.02,0.0,0.75565139771837
0.7,0.04,0.0,0.7582992238221026
0.7,0.06,0.0,0.7615012063667018
0.7,0.08,0.0,0.7648082773047763
0.7,0.1,0.0,0.7679738178299326
0.71,0.02,0.0,0.7604802270656593
0.71,0.04,0.0,0.7631283269704484
0.71,0.06,0.0,0.7663247433807742
0.71,0.08,0.0,0.7696133394949983
0.71,0.1,0.0,0.7727498301052721
0.72,0.02,0.0,0.7652134727502075
0.72,0.04,0.0,0.7678605336023837
0.72,0.06,0.0,0.7710497446469263
0.72,0.08,0.0,0.7743193839027102
0.72,0.1,0.0,0.7774292285582861
0.73,0.02,0.0,0.7698518168748864
0.73,0.04,0.0,0.7724964637321919
0.73,0.06,0.0,0.7756767226323505
