adhesivity,particle_size,volume_time_400,efficiency_time_400,product,n
0.4,0.09,95.65558636274493,0.5657094724610243,5.791028780385314,0.51
0.45,0.09,86.1176525249328,0.6084199989538035,5.903376665343432,0.51
0.5,0.09,78.34362007631313,0.6469057934963587,5.981125217178038,0.51
0.55,0.09,71.88462143215537,0.6815873749332246,6.031230023817035,0.51
0.6,0.09,66.42334522820644,0.712845182042134,6.058690922704684,0.51
0.65,0.09,61.74003528297912,0.7410201911275104,6.0676307984473,0.51
0.7,0.09,57.677064112626184,0.7664184940179894,6.061464699015514,0.51
0.75,0.09,54.11640475503381,0.7893156057973364,6.04294229329028,0.51
0.8,0.09,50.95867483274572,0.809962001916159,6.013757191461984,0.51
0.85,0.09,48.16621915459381,0.8285722911505444,5.977631102572881,0.51
0.9,0.09,45.655075658974766,0.8453550886961521,5.934424314250731,0.51
0.95,0.09,43.38849187061361,0.8604893883883153,5.885814111998432,0.51
1.0,0.09,41.339469277075224,0.8741357771700038,5.833443462144764,0.51
0.0,0.1,0.008494479202439675,0.008494479202439686,0.0007464427490136927,0.51
0.05,0.1,0.10647970983457614,0.10647023735565886,0.03397303294937349,0.51
0.1,0.1,0.1943591918459695,0.19442888426548915,0.0843236461425928,0.51
0.15,0.1,0.2732658118815105,0.27348323573632893,0.14112020966873404,0.51
0.2,0.1,0.3441701050475207,0.3446175583864972,0.20002842011253444,0.51
0.25,0.1,130.54505849029482,0.4087645580525727,4.903555060158258,0.51
0.3,0.1,111.07265781274558,0.46733979224722144,5.16288456377819,0.51
0.35,0.1,96.89855410872019,0.5200468281673898,5.358759583613988,0.51
0.4,0.1,86.06610907086946,0.5674916081303962,5.504575720135866,0.51
0.45,0.1,77.47462285283746,0.610214377477771,5.609882514331508,0.51
0.5,0.1,70.47689671155074,0.6486926390085267,5.6825442189766475,0.51
0.55,0.1,64.66167463388219,0.6833519797158061,5.728941669331111,0.51
0.6,0.1,59.74552984181794,0.7145754974438769,5.75392084253529,0.51
0.65,0.1,55.53066529724009,0.7427067216962234,5.761414502935855,0.51
0.7,0.1,51.86812857717358,0.7680560539435011,5.754296181374951,0.51
0.75,0.1,48.66453640557077,0.7908968348025234,5.735856249673885,0.51
0.8,0.1,45.83076810455509,0.8114810466663522,5.707797014937836,0.51
0.85,0.1,43.30944322916082,0.83003134502921,5.672201097459518,0.51
0.9,0.1,41.04866390127509,0.8467504687983012,5.630383138618189,0.51
0.95,0.1,39.00982464088929,0.8618199051847399,5.583612356054695,0.51
1.0,0.1,37.16141999430186,0.8754030344896058,5.5329293031826845,0.51
0.0,0.01,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.01,0.10318922211404613,0.10318369298289981,0.031673854941694946,0.52
0.1,0.01,0.18876008498041902,0.18874509498820669,0.07931383684730695,0.52
0.15,0.01,0.2660921738057397,0.2660694504083123,0.133663154153788,0.52
0.2,0.01,0.3359853006716972,0.3359595622258921,0.19053446767058038,0.52
0.25,0.01,0.39916046595214055,0.3991383297772784,0.247582615474596,0.52
0.3,0.01,0.4562685705872129,0.45625724613796304,0.3033922361627573,0.52
0.35,0.01,0.5078983373363266,0.5079038784492793,0.35709639064265847,0.52
0.4,0.01,0.5545616575456277,0.5546076790821602,0.4081687908099145,0.52
0.45,0.01,0.5967364697797253,0.5968462128251971,0.4563198745668415,0.52
