adhesivity,particle_size,n
0.3,0.1,1.1400000000000001
1.0,0.03,1.1500000000000001
0.85,0.04,1.1500000000000001
0.65,0.05,1.1500000000000001
0.45,0.06,1.1500000000000001
0.3,0.07,1.1500000000000001
0.3,0.08,1.1500000000000001
0.3,0.09,1.1500000000000001
0.3,0.1,1.1500000000000001
1.0,0.03,1.16
0.85,0.04,1.16
0.65,0.05,1.16
0.45,0.06,1.16
0.3,0.07,1.16
0.3,0.08,1.16
0.3,0.09,1.16
0.3,0.1,1.16
1.0,0.03,1.17
0.85,0.04,1.17
0.65,0.05,1.17
0.45,0.06,1.17
0.3,0.07,1.17
0.3,0.08,1.17
0.3,0.09,1.17
0.3,0.1,1.17
1.0,0.03,1.18
0.85,0.04,1.18
0.65,0.05,1.18
0.45,0.06,1.18
0.3,0.07,1.18
0.3,0.08,1.18
0.3,0.09,1.18
0.3,0.1,1.18
1.0,0.03,1.19
0.85,0.04,1.19
0.65,0.05,1.19
0.45,0.06,1.19
0.3,0.07,1.19
0.3,0.08,1.19
0.3,0.09,1.19
0.3,0.1,1.19
1.0,0.03,1.2
0.85,0.04,1.2
0.65,0.05,1.2
0.45,0.06,1.2
0.3,0.07,1.2
0.3,0.08,1.2
0.3,0.09,1.2
0.3,0.1,1.2
1.0,0.03,1.21
0.85,0.04,1.21
0.65,0.05,1.21
0.45,0.06,1.21
0.3,0.07,1.21
0.3,0.08,1.21
0.3,0.09,1.21
0.3,0.1,1.21
1.0,0.03,1.22
0.85,0.04,1.22
0.65,0.05,1.22
0.45,0.06,1.22
0.3,0.07,1.22
0.3,0.08,1.22
0.3,0.09,1.22
0.3,0.1,1.22
1.0,0.03,1.23
0.85,0.04,1.23
0.65,0.05,1.23
0.45,0.06,1.23
0.3,0.07,1.23
0.3,0.08,1.23
0.3,0.09,1.23
0.3,0.1,1.23
1.0,0.03,1.24
0.85,0.04,1.24
0.65,0.05,1.24
0.45,0.06,1.24
0.3,0.07,1.24
0.3,0.08,1.24
0.3,0.09,1.24
0.3,0.1,1.24
1.0,0.03,1.25
0.85,0.04,1.25
0.65,0.05,1.25
0.45,0.06,1.25
0.3,0.07,1.25
0.3,0.08,1.25
0.3,0.09,1.25
0.3,0.1,1.25
1.0,0.03,1.26
0.85,0.04,1.26
0.6,0.05,1.26
0.45,0.06,1.26
0.3,0.07,1.26
0.3,0.08,1.26
0.3,0.09,1.26
0.3,0.1,1.26
1.0,0.03,1.27
0.85,0.04,1.27
0.6,0.05,1.27
0.4,0.06,1.27
0.3,0.07,1.27
0.3,0.08,1.27
0.3,0.09,1.27
0.3,0.1,1.27
1.0,0.03,1.28
0.85,0.04,1.28
0.6,0.05,1.28
0.4,0.06,1.28
0.3,0.07,1.28
0.3,0.08,1.28
0.3,0.09,1.28
0.3,0.1,1.28
1.0,0.03,1.29
0.85,0.04,1.29
0.6,0.05,1.29
0.4,0.06,1.29
0.3,0.07,1.29
0.3,0.08,1.29
0.3,0.09,1.29
0.3,0.1,1.29
1.0,0.03,1.3
0.85,0.04,1.3
0.6,0.05,1.3
0.4,0.06,1.3
0.3,0.07,1.3
0.3,0.08,1.3
0.3,0.09,1.3
0.3,0.1,1.3
1.0,0.03,1.31
0.85,0.04,1.31
0.6,0.05,1.31
0.4,0.06,1.31
0.3,0.07,1.31
0.3,0.08,1.31
0.3,0.09,1.31
0.3,0.1,1.31
1.0,0.03,1.32
0.85,0.04,1.32
0.6,0.05,1.32
0.4,0.06,1.32
0.3,0.07,1.32
0.3,0.08,1.32
0.3,0.09,1.32
0.3,0.1,1.32
1.0,0.03,1.33
0.85,0.04,1.33
0.6,0.05,1.33
0.4,0.06,1.33
0.3,0.07,1.33
0.3,0.08,1.33
0.3,0.09,1.33
0.3,0.1,1.33
1.0,0.03,1.34
0.85,0.04,1.34
0.6,0.05,1.34
0.4,0.06,1.34
0.3,0.07,1.34
0.3,0.08,1.34
0.3,0.09,1.34
0.3,0.1,1.34
1.0,0.03,1.35
0.85,0.04,1.35
0.6,0.05,1.35
0.4,0.06,1.35
0.3,0.07,1.35
0.3,0.08,1.35
0.3,0.09,1.35
0.3,0.1,1.35
1.0,0.03,1.36
0.85,0.04,1.36
0.6,0.05,1.36
0.4,0.06,1.36
0.3,0.07,1.36
0.3,0.08,1.36
0.3,0.09,1.36
0.3,0.1,1.36
1.0,0.03,1.37
0.85,0.04,1.37
0.6,0.05,1.37
0.35,0.06,1.37
0.3,0.07,1.37
0.3,0.08,1.37
0.3,0.09,1.37
0.3,0.1,1.37
1.0,0.03,1.3800000000000001
0.85,0.04,1.3800000000000001
0.6,0.05,1.3800000000000001
0.35,0.06,1.3800000000000001
0.3,0.07,1.3800000000000001
0.3,0.08,1.3800000000000001
0.3,0.09,1.3800000000000001
0.3,0.1,1.3800000000000001
1.0,0.03,1.3900000000000001
