adhesivity_time_400,particle_size,weight_coefficient
0.1,0.07,3.9
0.1,0.08,3.9
0.1,0.09,3.9
0.1,0.1,3.9
0.4,0.01,3.95
0.2,0.02,3.95
0.1,0.03,3.95
0.1,0.04,3.95
0.1,0.05,3.95
0.1,0.06,3.95
0.1,0.07,3.95
0.1,0.08,3.95
0.1,0.09,3.95
0.1,0.1,3.95
